search_id,event_type,search_text,search_text_norm,search_url,datetime_local,date,year,quarter,semester,month,month_name,year_month,week_of_year,day,hour,minute,weekday_num,weekday,weekday_short,is_weekend,part_of_week,time_band_5,time_band_display,search_length,n_words,has_number,is_question_like,language_guess,format_auto,search_count_term,is_repeat_search,search_rank_in_term,is_first_time_search,searches_that_day,searches_that_day_band,premium_start_date,premium_period,premium_period_display,topic_final
1,youtube_search,csi 13x1,csi 13x1,https://www.youtube.com/results?search_query=csi+13x1,2014-01-09 23:10:32,2014-01-09,2014,Q1,S1,1,enero,2014-01,2,9,23,10,3,jueves,jue,False,entre semana,noche,Noche,8,2,True,False,unknown,series / tv,1,False,1,True,2,2,2024-06-24,pre_premium,Antes de Premium,series / tv / cine
2,youtube_search,csi las vegas 13x1,csi las vegas 13x1,https://www.youtube.com/results?search_query=csi+las+vegas+13x1,2014-01-09 23:10:58,2014-01-09,2014,Q1,S1,1,enero,2014-01,2,9,23,10,3,jueves,jue,False,entre semana,noche,Noche,18,4,True,False,unknown,series / tv,1,False,1,True,2,2,2024-06-24,pre_premium,Antes de Premium,series / tv / cine
3,youtube_search,nfl kicking edition dude perfect,nfl kicking edition dude perfect,https://www.youtube.com/results?search_query=nfl+kicking+edition+dude+perfect,2014-01-12 00:35:43,2014-01-12,2014,Q1,S1,1,enero,2014-01,2,12,0,35,6,domingo,dom,True,fin de semana,madrugada,Madrugada,32,5,False,False,unknown,other,1,False,1,True,5,2,2024-06-24,pre_premium,Antes de Premium,deportes
4,youtube_search,johnny football edition dude perfect,johnny football edition dude perfect,https://www.youtube.com/results?search_query=johnny+football+edition+dude+perfect,2014-01-12 00:36:25,2014-01-12,2014,Q1,S1,1,enero,2014-01,2,12,0,36,6,domingo,dom,True,fin de semana,madrugada,Madrugada,36,5,False,False,unknown,other,1,False,1,True,5,2,2024-06-24,pre_premium,Antes de Premium,deportes
5,youtube_search,marshall lynch 67 yards td,marshall lynch 67 yards td,https://www.youtube.com/results?search_query=marshall+lynch+67+yards+td,2014-01-12 16:40:23,2014-01-12,2014,Q1,S1,1,enero,2014-01,2,12,16,40,6,domingo,dom,True,fin de semana,tarde,Tarde,26,5,True,False,unknown,other,1,False,1,True,5,3,2024-06-24,pre_premium,Antes de Premium,deportes
6,youtube_search,mejores corridas peterson vikings,mejores corridas peterson vikings,https://www.youtube.com/results?search_query=mejores+corridas+peterson+vikings,2014-01-12 16:41:02,2014-01-12,2014,Q1,S1,1,enero,2014-01,2,12,16,41,6,domingo,dom,True,fin de semana,tarde,Tarde,33,4,False,False,unknown,other,1,False,1,True,5,3,2024-06-24,pre_premium,Antes de Premium,deportes
7,youtube_search,mejores corridas adrian peterson,mejores corridas adrian peterson,https://www.youtube.com/results?search_query=mejores+corridas+adrian+peterson,2014-01-12 16:41:36,2014-01-12,2014,Q1,S1,1,enero,2014-01,2,12,16,41,6,domingo,dom,True,fin de semana,tarde,Tarde,32,4,False,False,unknown,other,1,False,1,True,5,3,2024-06-24,pre_premium,Antes de Premium,deportes
8,youtube_search,semifinal copa libertadores 2004,semifinal copa libertadores 2004,https://www.youtube.com/results?search_query=semifinal+copa+libertadores+2004,2014-01-21 16:11:27,2014-01-21,2014,Q1,S1,1,enero,2014-01,4,21,16,11,1,martes,mar,False,entre semana,tarde,Tarde,32,4,True,False,unknown,other,1,False,1,True,1,1,2024-06-24,pre_premium,Antes de Premium,deportes
9,youtube_search,episodio los simpsons homero y marge se pelean,episodio los simpsons homero y marge se pelean,https://www.youtube.com/results?search_query=episodio+los+simpsons+homero+y+marge+se+pelean,2014-01-24 12:56:13,2014-01-24,2014,Q1,S1,1,enero,2014-01,4,24,12,56,4,viernes,vie,False,entre semana,mediodía,Mediodía,46,8,False,False,unknown,series / tv,1,False,1,True,7,2,2024-06-24,pre_premium,Antes de Premium,series / tv / cine
10,youtube_search,episodio los simpsons marge viaja en avion,episodio los simpsons marge viaja en avion,https://www.youtube.com/results?search_query=episodio+los+simpsons+marge+viaja+en+avion,2014-01-24 12:57:53,2014-01-24,2014,Q1,S1,1,enero,2014-01,4,24,12,57,4,viernes,vie,False,entre semana,mediodía,Mediodía,42,7,False,False,unknown,series / tv,2,True,1,True,7,2,2024-06-24,pre_premium,Antes de Premium,series / tv / cine
11,youtube_search,episodio los simpsons marge viaja en avion,episodio los simpsons marge viaja en avion,https://www.youtube.com/results?search_query=episodio+los+simpsons+marge+viaja+en+avion,2014-01-24 15:19:53,2014-01-24,2014,Q1,S1,1,enero,2014-01,4,24,15,19,4,viernes,vie,False,entre semana,tarde,Tarde,42,7,False,False,unknown,series / tv,2,True,2,False,7,5,2024-06-24,pre_premium,Antes de Premium,series / tv / cine
12,youtube_search,el precio de la historia trofeo vincent lombardi,el precio de la historia trofeo vincent lombardi,https://www.youtube.com/results?search_query=el+precio+de+la+historia+trofeo+vincent+lombardi,2014-01-24 15:20:50,2014-01-24,2014,Q1,S1,1,enero,2014-01,4,24,15,20,4,viernes,vie,False,entre semana,tarde,Tarde,48,8,False,False,unknown,other,1,False,1,True,7,5,2024-06-24,pre_premium,Antes de Premium,compras / producto
13,youtube_search,el precio de la historia vincent lombardi,el precio de la historia vincent lombardi,https://www.youtube.com/results?search_query=el+precio+de+la+historia+vincent+lombardi,2014-01-24 15:20:55,2014-01-24,2014,Q1,S1,1,enero,2014-01,4,24,15,20,4,viernes,vie,False,entre semana,tarde,Tarde,41,7,False,False,unknown,other,1,False,1,True,7,5,2024-06-24,pre_premium,Antes de Premium,compras / producto
14,youtube_search,el precio de la historia nfl,el precio de la historia nfl,https://www.youtube.com/results?search_query=el+precio+de+la+historia+nfl,2014-01-24 15:22:15,2014-01-24,2014,Q1,S1,1,enero,2014-01,4,24,15,22,4,viernes,vie,False,entre semana,tarde,Tarde,28,6,False,False,unknown,other,1,False,1,True,7,5,2024-06-24,pre_premium,Antes de Premium,deportes
15,youtube_search,el precio de la historia trofeo,el precio de la historia trofeo,https://www.youtube.com/results?search_query=el+precio+de+la+historia+trofeo,2014-01-24 15:29:17,2014-01-24,2014,Q1,S1,1,enero,2014-01,4,24,15,29,4,viernes,vie,False,entre semana,tarde,Tarde,31,6,False,False,unknown,other,1,False,1,True,7,5,2024-06-24,pre_premium,Antes de Premium,compras / producto
16,youtube_search,daft punk grammys 2014,daft punk grammys 2014,https://www.youtube.com/results?search_query=daft+punk+grammys+2014,2014-01-27 21:54:58,2014-01-27,2014,Q1,S1,1,enero,2014-01,5,27,21,54,0,lunes,lun,False,entre semana,noche,Noche,22,4,True,False,unknown,other,1,False,1,True,2,2,2024-06-24,pre_premium,Antes de Premium,música
17,youtube_search,imagine dragons grammys 2014,imagine dragons grammys 2014,https://www.youtube.com/results?search_query=imagine+dragons+grammys+2014,2014-01-27 22:13:42,2014-01-27,2014,Q1,S1,1,enero,2014-01,5,27,22,13,0,lunes,lun,False,entre semana,noche,Noche,28,4,True,False,unknown,other,1,False,1,True,2,2,2024-06-24,pre_premium,Antes de Premium,música
18,youtube_search,propaganda fibertel 2014,propaganda fibertel 2014,https://www.youtube.com/results?search_query=propaganda+fibertel+2014,2014-02-06 18:08:25,2014-02-06,2014,Q1,S1,2,febrero,2014-02,6,6,18,8,3,jueves,jue,False,entre semana,tarde,Tarde,24,3,True,False,unknown,other,1,False,1,True,1,1,2024-06-24,pre_premium,Antes de Premium,medios / radio / streaming
